epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50683.9743015,0.0,0.152,8e-05,63.0,0.6333333333333333,0.6333333333333333,0.4666666666666667,0.5333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-50683.9743015_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,779.5151385,0.07909,1.387,8e-05,8.0,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-779.5151385_acc-0.07909_epoch-1_ep-1.387_dl-8e-05_ap-8.00
1,522.5318291,0.07909,1.408,8e-05,7.9,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-522.5318291_acc-0.07909_epoch-1_ep-1.408_dl-8e-05_ap-7.90
1,490.6824817,0.07909,1.421,8e-05,7.8,0.6666666666666666,0.6,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-490.6824817_acc-0.07909_epoch-1_ep-1.421_dl-8e-05_ap-7.80
1,479.619987,0.07909,1.432,8e-05,7.8,0.6666666666666666,0.6333333333333333,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-479.6199870_acc-0.07909_epoch-1_ep-1.432_dl-8e-05_ap-7.80
1,468.4792639,0.07909,1.441,8e-05,7.7,0.6666666666666666,0.6,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-468.4792639_acc-0.07909_epoch-1_ep-1.441_dl-8e-05_ap-7.70
1,462.2479465,0.07909,1.447,8e-05,7.7,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-462.2479465_acc-0.07909_epoch-1_ep-1.447_dl-8e-05_ap-7.70
1,464.5318477,0.07351,1.454,8e-05,7.7,0.6333333333333333,0.5666666666666667,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-464.5318477_acc-0.07351_epoch-1_ep-1.454_dl-8e-05_ap-7.70
1,458.6463433,0.09902,1.461,8e-05,7.7,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-458.6463433_acc-0.09902_epoch-1_ep-1.461_dl-8e-05_ap-7.70
1,459.9348478,0.09758,1.467,8e-05,7.6,0.6333333333333333,0.5,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-459.9348478_acc-0.09758_epoch-1_ep-1.467_dl-8e-05_ap-7.60
1,434.4324442,0.09758,1.471,8e-05,7.6,0.6333333333333333,0.5,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-434.4324442_acc-0.09758_epoch-1_ep-1.471_dl-8e-05_ap-7.60
1,419.998177,0.09758,1.475,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-419.9981770_acc-0.09758_epoch-1_ep-1.475_dl-8e-05_ap-7.60
1,394.1584718,0.11699,1.48,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-394.1584718_acc-0.11699_epoch-1_ep-1.480_dl-8e-05_ap-7.60
1,373.5438136,0.12273,1.484,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-373.5438136_acc-0.12273_epoch-1_ep-1.484_dl-8e-05_ap-7.60
1,353.2446818,0.15666,1.488,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-353.2446818_acc-0.15666_epoch-1_ep-1.488_dl-8e-05_ap-7.60
1,327.9735797,0.18195,1.492,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-327.9735797_acc-0.18195_epoch-1_ep-1.492_dl-8e-05_ap-7.60
1,307.2099891,0.19497,1.496,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-307.2099891_acc-0.19497_epoch-1_ep-1.496_dl-8e-05_ap-7.60
1,301.6169777,0.19578,1.499,8e-05,7.6,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-301.6169777_acc-0.19578_epoch-1_ep-1.499_dl-8e-05_ap-7.60
2,146.7883776,0.33593,1.549,8e-05,7.5,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-146.7883776_acc-0.33593_epoch-2_ep-1.549_dl-8e-05_ap-7.50
3,91.2041517,0.45833,1.587,8e-05,7.4,0.6333333333333333,0.5,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-91.2041517_acc-0.45833_epoch-3_ep-1.587_dl-8e-05_ap-7.40
4,63.127806,0.54069,1.623,8e-05,7.3,0.6,0.4666666666666667,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-63.1278060_acc-0.54069_epoch-4_ep-1.623_dl-8e-05_ap-7.30
5,41.0719556,0.58855,1.654,8e-05,7.3,0.6,0.5,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-41.0719556_acc-0.58855_epoch-5_ep-1.654_dl-8e-05_ap-7.30
6,30.9531662,0.61912,1.685,8e-05,7.3,0.6333333333333333,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-30.9531662_acc-0.61912_epoch-6_ep-1.685_dl-8e-05_ap-7.30
7,21.0504682,0.6562,1.715,8e-05,7.2,0.6,0.5,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-21.0504682_acc-0.65620_epoch-7_ep-1.715_dl-8e-05_ap-7.20
8,17.0726135,0.67731,1.743,8e-05,7.2,0.6,0.5333333333333333,0.4666666666666667,0.6,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-17.0726135_acc-0.67731_epoch-8_ep-1.743_dl-8e-05_ap-7.20
9,14.1512336,0.68738,1.771,8e-05,7.2,0.6,0.5333333333333333,0.4666666666666667,0.6333333333333333,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-14.1512336_acc-0.68738_epoch-9_ep-1.771_dl-8e-05_ap-7.20
10,12.623155,0.70095,1.798,8e-05,7.2,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-12.6231550_acc-0.70095_epoch-10_ep-1.798_dl-8e-05_ap-7.20
11,12.6000372,0.69469,1.826,8e-05,7.2,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-12.6000372_acc-0.69469_epoch-11_ep-1.826_dl-8e-05_ap-7.20
12,11.579849,0.70239,1.852,8e-05,7.1,0.7,0.6,0.4666666666666667,0.7,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-11.5798490_acc-0.70239_epoch-12_ep-1.852_dl-8e-05_ap-7.10
13,11.7252497,0.69592,1.878,8e-05,7.1,0.6333333333333333,0.6,0.4666666666666667,0.6666666666666666,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-11.7252497_acc-0.69592_epoch-13_ep-1.878_dl-8e-05_ap-7.10
14,11.6025433,0.69703,1.903,8e-05,7.1,0.6333333333333333,0.6333333333333333,0.4666666666666667,0.7,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-11.6025433_acc-0.69703_epoch-14_ep-1.903_dl-8e-05_ap-7.10
15,11.5379974,0.69732,1.929,8e-05,7.1,0.6666666666666666,0.6,0.4666666666666667,0.7,60,model/partialdp/20210503/230450/data-simdial_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50260_bs-3_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.7_norm-0.005_dl-8e-05.pt_ppl-11.5379974_acc-0.69732_epoch-15_ep-1.929_dl-8e-05_ap-7.10
